epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667651406385,2022-11-05T14.30.06.385,0.000,-0.278,-0.271,0.949
1667651406425,2022-11-05T14.30.06.425,0.040,-0.281,-0.276,0.954
1667651406466,2022-11-05T14.30.06.466,0.081,-0.279,-0.269,0.954
1667651406505,2022-11-05T14.30.06.505,0.120,-0.281,-0.277,0.954
1667651406547,2022-11-05T14.30.06.547,0.162,-0.280,-0.274,0.953
1667651406586,2022-11-05T14.30.06.586,0.201,-0.281,-0.276,0.953
1667651406627,2022-11-05T14.30.06.627,0.242,-0.280,-0.275,0.954
1667651406667,2022-11-05T14.30.06.667,0.282,-0.279,-0.273,0.953
1667651406706,2022-11-05T14.30.06.706,0.321,-0.281,-0.273,0.953
1667651406747,2022-11-05T14.30.06.747,0.362,-0.280,-0.273,0.953
1667651406787,2022-11-05T14.30.06.787,0.402,-0.279,-0.274,0.954
1667651406828,2022-11-05T14.30.06.828,0.443,-0.279,-0.274,0.953
1667651406867,2022-11-05T14.30.06.867,0.482,-0.281,-0.271,0.954
1667651406908,2022-11-05T14.30.06.908,0.523,-0.280,-0.272,0.955
1667651406948,2022-11-05T14.30.06.948,0.563,-0.281,-0.277,0.953
1667651406989,2022-11-05T14.30.06.989,0.604,-0.278,-0.284,0.945
1667651407028,2022-11-05T14.30.07.028,0.643,-0.278,-0.266,0.957
1667651407069,2022-11-05T14.30.07.069,0.684,-0.285,-0.259,0.960
1667651407109,2022-11-05T14.30.07.109,0.724,-0.276,-0.273,0.953
1667651407150,2022-11-05T14.30.07.150,0.765,-0.264,-0.275,0.958
1667651407190,2022-11-05T14.30.07.190,0.805,-0.276,-0.286,0.957
1667651407231,2022-11-05T14.30.07.231,0.846,-0.277,-0.277,0.952
1667651407270,2022-11-05T14.30.07.270,0.885,-0.279,-0.266,0.954
1667651407310,2022-11-05T14.30.07.310,0.925,-0.287,-0.280,0.952
1667651407351,2022-11-05T14.30.07.351,0.966,-0.278,-0.276,0.954
1667651407390,2022-11-05T14.30.07.390,1.005,-0.277,-0.277,0.955
1667651407431,2022-11-05T14.30.07.431,1.046,-0.278,-0.281,0.956
1667651407471,2022-11-05T14.30.07.471,1.086,-0.278,-0.277,0.954
1667651407512,2022-11-05T14.30.07.512,1.127,-0.281,-0.279,0.952
1667651407551,2022-11-05T14.30.07.551,1.166,-0.279,-0.275,0.957
1667651407592,2022-11-05T14.30.07.592,1.207,-0.276,-0.279,0.956
1667651407632,2022-11-05T14.30.07.632,1.247,-0.278,-0.282,0.953
1667651407673,2022-11-05T14.30.07.673,1.288,-0.279,-0.276,0.954
1667651407713,2022-11-05T14.30.07.713,1.328,-0.280,-0.280,0.954
1667651407754,2022-11-05T14.30.07.754,1.369,-0.278,-0.280,0.953
1667651407793,2022-11-05T14.30.07.793,1.408,-0.279,-0.280,0.953
1667651407834,2022-11-05T14.30.07.834,1.449,-0.277,-0.280,0.955
1667651407874,2022-11-05T14.30.07.874,1.489,-0.280,-0.281,0.953
1667651407915,2022-11-05T14.30.07.915,1.530,-0.282,-0.275,0.953
1667651407954,2022-11-05T14.30.07.954,1.569,-0.279,-0.281,0.952
1667651407994,2022-11-05T14.30.07.994,1.609,-0.279,-0.285,0.951
1667651408035,2022-11-05T14.30.08.035,1.650,-0.275,-0.277,0.953
1667651408074,2022-11-05T14.30.08.074,1.689,-0.278,-0.279,0.955
1667651408115,2022-11-05T14.30.08.115,1.730,-0.278,-0.282,0.954
1667651408155,2022-11-05T14.30.08.155,1.770,-0.277,-0.283,0.956
1667651408196,2022-11-05T14.30.08.196,1.811,-0.279,-0.282,0.955
1667651408235,2022-11-05T14.30.08.235,1.850,-0.277,-0.269,0.954
1667651408276,2022-11-05T14.30.08.276,1.891,-0.282,-0.279,0.954
1667651408316,2022-11-05T14.30.08.316,1.931,-0.283,-0.283,0.952
1667651408357,2022-11-05T14.30.08.357,1.972,-0.278,-0.273,0.954
1667651408397,2022-11-05T14.30.08.397,2.012,-0.282,-0.281,0.952
1667651408438,2022-11-05T14.30.08.438,2.053,-0.279,-0.277,0.953
1667651408477,2022-11-05T14.30.08.477,2.092,-0.282,-0.278,0.953
1667651408518,2022-11-05T14.30.08.518,2.133,-0.282,-0.277,0.954
1667651408558,2022-11-05T14.30.08.558,2.173,-0.279,-0.279,0.955
1667651408597,2022-11-05T14.30.08.597,2.212,-0.279,-0.280,0.954
1667651408638,2022-11-05T14.30.08.638,2.253,-0.280,-0.277,0.955
1667651408678,2022-11-05T14.30.08.678,2.293,-0.280,-0.276,0.953
1667651408719,2022-11-05T14.30.08.719,2.334,-0.279,-0.279,0.953
1667651408758,2022-11-05T14.30.08.758,2.373,-0.280,-0.281,0.954
1667651408799,2022-11-05T14.30.08.799,2.414,-0.280,-0.277,0.955
1667651408839,2022-11-05T14.30.08.839,2.454,-0.281,-0.281,0.954
1667651408880,2022-11-05T14.30.08.880,2.495,-0.278,-0.280,0.955
1667651408920,2022-11-05T14.30.08.920,2.535,-0.279,-0.280,0.954
1667651408961,2022-11-05T14.30.08.961,2.576,-0.281,-0.281,0.953
1667651409000,2022-11-05T14.30.09.000,2.615,-0.282,-0.279,0.954
1667651409041,2022-11-05T14.30.09.041,2.656,-0.278,-0.278,0.954
1667651409081,2022-11-05T14.30.09.081,2.696,-0.280,-0.280,0.954
1667651409122,2022-11-05T14.30.09.122,2.737,-0.281,-0.277,0.954
1667651409161,2022-11-05T14.30.09.161,2.776,-0.279,-0.275,0.954
1667651409201,2022-11-05T14.30.09.201,2.816,-0.280,-0.280,0.953
1667651409242,2022-11-05T14.30.09.242,2.857,-0.280,-0.276,0.954
1667651409281,2022-11-05T14.30.09.281,2.896,-0.281,-0.277,0.953
1667651409322,2022-11-05T14.30.09.322,2.937,-0.280,-0.276,0.956
1667651409362,2022-11-05T14.30.09.362,2.977,-0.279,-0.281,0.955
1667651409403,2022-11-05T14.30.09.403,3.018,-0.278,-0.281,0.954
1667651409443,2022-11-05T14.30.09.443,3.058,-0.281,-0.268,0.952
1667651409484,2022-11-05T14.30.09.484,3.099,-0.281,-0.273,0.956
1667651409523,2022-11-05T14.30.09.523,3.138,-0.279,-0.281,0.956
1667651409564,2022-11-05T14.30.09.564,3.179,-0.275,-0.278,0.956
1667651409604,2022-11-05T14.30.09.604,3.219,-0.276,-0.279,0.955
1667651409645,2022-11-05T14.30.09.645,3.260,-0.279,-0.281,0.953
1667651409684,2022-11-05T14.30.09.684,3.299,-0.277,-0.271,0.956
1667651409725,2022-11-05T14.30.09.725,3.340,-0.284,-0.269,0.953
1667651409765,2022-11-05T14.30.09.765,3.380,-0.293,-0.271,0.951
1667651409806,2022-11-05T14.30.09.806,3.421,-0.284,-0.269,0.954
1667651409845,2022-11-05T14.30.09.845,3.460,-0.283,-0.279,0.953
1667651409885,2022-11-05T14.30.09.885,3.500,-0.282,-0.283,0.953
1667651409926,2022-11-05T14.30.09.926,3.541,-0.282,-0.278,0.953
1667651409965,2022-11-05T14.30.09.965,3.580,-0.282,-0.278,0.955
1667651410006,2022-11-05T14.30.10.006,3.621,-0.283,-0.278,0.953
1667651410046,2022-11-05T14.30.10.046,3.661,-0.282,-0.282,0.953
1667651410087,2022-11-05T14.30.10.087,3.702,-0.280,-0.285,0.954
1667651410127,2022-11-05T14.30.10.127,3.742,-0.281,-0.287,0.954
1667651410168,2022-11-05T14.30.10.168,3.783,-0.283,-0.276,0.953
1667651410207,2022-11-05T14.30.10.207,3.822,-0.283,-0.277,0.952
1667651410248,2022-11-05T14.30.10.248,3.863,-0.283,-0.277,0.953
1667651410288,2022-11-05T14.30.10.288,3.903,-0.281,-0.277,0.955
1667651410329,2022-11-05T14.30.10.329,3.944,-0.280,-0.272,0.955
1667651410368,2022-11-05T14.30.10.368,3.983,-0.281,-0.272,0.955
1667651410409,2022-11-05T14.30.10.409,4.024,-0.285,-0.279,0.952
1667651410449,2022-11-05T14.30.10.449,4.064,-0.284,-0.276,0.952
1667651410488,2022-11-05T14.30.10.488,4.103,-0.281,-0.273,0.953
1667651410529,2022-11-05T14.30.10.529,4.144,-0.282,-0.275,0.953
1667651410569,2022-11-05T14.30.10.569,4.184,-0.282,-0.275,0.954
1667651410610,2022-11-05T14.30.10.610,4.225,-0.282,-0.275,0.955
1667651410650,2022-11-05T14.30.10.650,4.265,-0.281,-0.279,0.954
1667651410691,2022-11-05T14.30.10.691,4.306,-0.284,-0.277,0.954
1667651410730,2022-11-05T14.30.10.730,4.345,-0.281,-0.273,0.954
1667651410771,2022-11-05T14.30.10.771,4.386,-0.282,-0.280,0.953
