epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668070202585,2022-11-10T10.50.02.585,0.000,-2.866,-1.799,0.884
1668070202626,2022-11-10T10.50.02.626,0.041,-3.018,-1.494,0.976
1668070202666,2022-11-10T10.50.02.666,0.081,-2.256,-0.549,0.061
1668070202707,2022-11-10T10.50.02.707,0.122,-0.945,0.152,-1.341
1668070202746,2022-11-10T10.50.02.746,0.161,-0.396,0.274,-1.402
1668070202787,2022-11-10T10.50.02.787,0.202,0.030,-0.213,0.366
1668070202827,2022-11-10T10.50.02.827,0.242,0.335,-0.366,0.945
1668070202868,2022-11-10T10.50.02.868,0.283,0.000,0.183,-0.061
1668070202907,2022-11-10T10.50.02.907,0.322,-0.030,0.396,-0.549
1668070202948,2022-11-10T10.50.02.948,0.363,0.610,0.274,-0.274
1668070202988,2022-11-10T10.50.02.988,0.403,0.183,0.122,0.000
1668070203028,2022-11-10T10.50.03.028,0.443,-0.274,0.030,0.122
1668070203069,2022-11-10T10.50.03.069,0.484,-0.152,0.000,0.122
1668070203108,2022-11-10T10.50.03.108,0.523,0.244,-0.030,-0.091
1668070203149,2022-11-10T10.50.03.149,0.564,0.549,0.061,-0.061
1668070203189,2022-11-10T10.50.03.189,0.604,0.122,0.091,0.152
1668070203230,2022-11-10T10.50.03.230,0.645,-0.732,-0.122,0.396
1668070203269,2022-11-10T10.50.03.269,0.684,-0.274,-0.305,0.335
1668070203310,2022-11-10T10.50.03.310,0.725,-0.061,0.122,-0.030
1668070203350,2022-11-10T10.50.03.350,0.765,-0.091,0.213,-0.152
1668070203391,2022-11-10T10.50.03.391,0.806,-0.213,0.152,-0.122
1668070203430,2022-11-10T10.50.03.430,0.845,0.274,0.183,-0.030
1668070203471,2022-11-10T10.50.03.471,0.886,0.274,0.244,-0.122
1668070203511,2022-11-10T10.50.03.511,0.926,-0.030,0.335,-0.274
1668070203551,2022-11-10T10.50.03.551,0.966,-0.152,0.518,-0.305
1668070203592,2022-11-10T10.50.03.592,1.007,-0.823,0.945,-0.701
1668070203631,2022-11-10T10.50.03.631,1.046,-0.854,0.762,-0.610
1668070203672,2022-11-10T10.50.03.672,1.087,0.244,0.152,0.274
1668070203712,2022-11-10T10.50.03.712,1.127,-0.122,-0.030,0.488
1668070203753,2022-11-10T10.50.03.753,1.168,-0.762,0.061,0.183
1668070203792,2022-11-10T10.50.03.792,1.207,-0.274,0.396,0.122
1668070203833,2022-11-10T10.50.03.833,1.248,1.006,1.982,1.280
1668070203873,2022-11-10T10.50.03.873,1.288,0.091,1.433,1.311
1668070203914,2022-11-10T10.50.03.914,1.329,0.945,0.518,-0.152
1668070203953,2022-11-10T10.50.03.953,1.368,1.738,-0.152,-0.274
1668070203994,2022-11-10T10.50.03.994,1.409,1.829,-1.098,-0.152
1668070204034,2022-11-10T10.50.04.034,1.449,0.823,-0.732,-0.396
1668070204073,2022-11-10T10.50.04.073,1.488,-0.549,-0.244,-0.488
1668070204115,2022-11-10T10.50.04.115,1.530,-0.244,-0.030,-0.274
1668070204154,2022-11-10T10.50.04.154,1.569,0.000,-0.061,-0.122
1668070204195,2022-11-10T10.50.04.195,1.610,0.122,0.061,-0.152
1668070204235,2022-11-10T10.50.04.235,1.650,0.305,0.183,-0.305
1668070204276,2022-11-10T10.50.04.276,1.691,-0.122,0.183,-0.213
1668070204315,2022-11-10T10.50.04.315,1.730,-0.488,0.122,0.000
1668070204356,2022-11-10T10.50.04.356,1.771,-0.854,0.183,-0.091
1668070204396,2022-11-10T10.50.04.396,1.811,-1.037,0.213,-0.183
1668070204437,2022-11-10T10.50.04.437,1.852,-0.701,0.244,-0.213
1668070204476,2022-11-10T10.50.04.476,1.891,-0.701,0.183,-0.274
1668070204517,2022-11-10T10.50.04.517,1.932,-0.488,0.152,-0.244
1668070204557,2022-11-10T10.50.04.557,1.972,-0.183,0.122,-0.183
1668070204598,2022-11-10T10.50.04.598,2.013,0.091,0.152,-0.183
1668070204637,2022-11-10T10.50.04.637,2.052,0.305,0.030,-0.152
1668070204677,2022-11-10T10.50.04.677,2.092,-0.457,0.061,0.000
1668070204718,2022-11-10T10.50.04.718,2.133,-1.250,0.396,0.274
1668070204758,2022-11-10T10.50.04.758,2.173,-0.640,0.945,0.884
1668070204799,2022-11-10T10.50.04.799,2.214,-1.067,0.335,0.915
1668070204838,2022-11-10T10.50.04.838,2.253,-1.341,0.030,0.122
1668070204879,2022-11-10T10.50.04.879,2.294,-0.427,-0.183,0.030
1668070204919,2022-11-10T10.50.04.919,2.334,-0.305,-0.884,0.427
1668070204960,2022-11-10T10.50.04.960,2.375,-0.305,-0.884,0.366
1668070204999,2022-11-10T10.50.04.999,2.414,0.000,-0.549,-0.396
1668070205040,2022-11-10T10.50.05.040,2.455,-0.122,-0.213,-0.823
1668070205080,2022-11-10T10.50.05.080,2.495,0.152,0.000,-0.305
1668070205119,2022-11-10T10.50.05.119,2.534,0.244,0.274,0.030
1668070205160,2022-11-10T10.50.05.160,2.575,-0.427,0.183,0.061
1668070205200,2022-11-10T10.50.05.200,2.615,-0.732,0.061,-0.030
1668070205241,2022-11-10T10.50.05.241,2.656,-0.945,0.152,-0.305
1668070205281,2022-11-10T10.50.05.281,2.696,-0.457,0.274,-0.305
1668070205322,2022-11-10T10.50.05.322,2.737,-0.518,0.091,0.000
1668070205361,2022-11-10T10.50.05.361,2.776,-0.518,0.152,-0.152
1668070205402,2022-11-10T10.50.05.402,2.817,-0.244,0.274,-0.427
1668070205442,2022-11-10T10.50.05.442,2.857,0.274,0.274,-0.152
1668070205483,2022-11-10T10.50.05.483,2.898,0.854,0.183,0.091
1668070205522,2022-11-10T10.50.05.522,2.937,0.396,0.335,-0.274
1668070205563,2022-11-10T10.50.05.563,2.978,0.061,0.305,-0.305
1668070205603,2022-11-10T10.50.05.603,3.018,-0.427,0.000,0.091
1668070205642,2022-11-10T10.50.05.642,3.057,-2.012,-0.305,0.549
1668070205683,2022-11-10T10.50.05.683,3.098,-1.280,0.061,0.244
1668070205723,2022-11-10T10.50.05.723,3.138,-0.244,0.457,-0.305
1668070205764,2022-11-10T10.50.05.764,3.179,0.030,0.366,-0.335
1668070205803,2022-11-10T10.50.05.803,3.218,1.037,0.457,0.091
1668070205844,2022-11-10T10.50.05.844,3.259,1.037,0.366,0.244
1668070205884,2022-11-10T10.50.05.884,3.299,0.274,0.213,0.213
1668070205925,2022-11-10T10.50.05.925,3.340,0.091,0.274,0.091
1668070205965,2022-11-10T10.50.05.965,3.380,-0.091,0.396,0.122
1668070206006,2022-11-10T10.50.06.006,3.421,0.152,0.366,0.152
1668070206045,2022-11-10T10.50.06.045,3.460,-0.244,0.152,0.701
1668070206086,2022-11-10T10.50.06.086,3.501,-0.091,0.000,0.793
1668070206126,2022-11-10T10.50.06.126,3.541,-0.549,0.183,0.396
1668070206165,2022-11-10T10.50.06.165,3.580,-0.213,0.122,0.457
1668070206206,2022-11-10T10.50.06.206,3.621,0.274,0.213,0.518
1668070206246,2022-11-10T10.50.06.246,3.661,0.061,0.427,-0.061
1668070206287,2022-11-10T10.50.06.287,3.702,-0.183,0.274,-0.091
1668070206326,2022-11-10T10.50.06.326,3.741,0.213,0.122,0.183
1668070206367,2022-11-10T10.50.06.367,3.782,-0.244,0.183,0.000
1668070206407,2022-11-10T10.50.06.407,3.822,-0.915,0.213,0.366
1668070206448,2022-11-10T10.50.06.448,3.863,0.000,0.213,0.488
1668070206488,2022-11-10T10.50.06.488,3.903,-0.335,0.427,-0.274
1668070206529,2022-11-10T10.50.06.529,3.944,-0.335,0.457,-0.762
1668070206568,2022-11-10T10.50.06.568,3.983,0.000,0.396,-0.427
1668070206609,2022-11-10T10.50.06.609,4.024,0.457,0.274,-0.183
1668070206649,2022-11-10T10.50.06.649,4.064,-0.396,0.366,-0.640
1668070206688,2022-11-10T10.50.06.688,4.103,-0.122,0.366,-0.823
1668070206729,2022-11-10T10.50.06.729,4.144,0.305,0.518,-0.823
1668070206769,2022-11-10T10.50.06.769,4.184,0.000,0.549,-0.701
1668070206810,2022-11-10T10.50.06.810,4.225,-0.122,0.305,-0.457
1668070206849,2022-11-10T10.50.06.849,4.264,-0.213,0.122,-0.152
1668070206890,2022-11-10T10.50.06.890,4.305,-0.305,0.091,-0.183
1668070206930,2022-11-10T10.50.06.930,4.345,-0.427,0.183,-0.213
1668070206971,2022-11-10T10.50.06.971,4.386,-0.183,0.274,-0.335
1668070207011,2022-11-10T10.50.07.011,4.426,0.061,0.183,-0.335
1668070207052,2022-11-10T10.50.07.052,4.467,0.122,0.305,-0.457
1668070207091,2022-11-10T10.50.07.091,4.506,0.122,0.396,-0.213
1668070207132,2022-11-10T10.50.07.132,4.547,0.244,0.274,-0.213
1668070207172,2022-11-10T10.50.07.172,4.587,0.122,0.183,0.000
1668070207211,2022-11-10T10.50.07.211,4.626,0.000,0.152,0.122
1668070207252,2022-11-10T10.50.07.252,4.667,-0.152,0.152,0.213
1668070207292,2022-11-10T10.50.07.292,4.707,0.091,0.000,0.274
1668070207333,2022-11-10T10.50.07.333,4.748,0.000,0.091,0.061
1668070207372,2022-11-10T10.50.07.372,4.787,0.030,0.244,-0.061
1668070207413,2022-11-10T10.50.07.413,4.828,-0.061,0.305,-0.152
1668070207453,2022-11-10T10.50.07.453,4.868,-0.213,0.274,-0.091
1668070207494,2022-11-10T10.50.07.494,4.909,-0.366,0.183,0.061
1668070207533,2022-11-10T10.50.07.533,4.948,-0.213,0.030,0.091
1668070207574,2022-11-10T10.50.07.574,4.989,0.030,0.061,0.091
1668070207614,2022-11-10T10.50.07.614,5.029,0.000,0.122,0.335
1668070207655,2022-11-10T10.50.07.655,5.070,-0.213,0.061,0.579
1668070207695,2022-11-10T10.50.07.695,5.110,-0.366,0.030,0.610
1668070207734,2022-11-10T10.50.07.734,5.149,-0.183,0.061,0.457
1668070207775,2022-11-10T10.50.07.775,5.190,-0.183,0.152,0.030
1668070207815,2022-11-10T10.50.07.815,5.230,0.152,0.183,-0.244
1668070207856,2022-11-10T10.50.07.856,5.271,0.244,0.183,-0.152
1668070207895,2022-11-10T10.50.07.895,5.310,0.030,0.183,-0.030
1668070207936,2022-11-10T10.50.07.936,5.351,-0.183,0.183,0.000
1668070207976,2022-11-10T10.50.07.976,5.391,-0.122,0.152,0.061
1668070208017,2022-11-10T10.50.08.017,5.432,-0.030,0.091,0.030
1668070208056,2022-11-10T10.50.08.056,5.471,0.183,0.122,0.091
1668070208097,2022-11-10T10.50.08.097,5.512,0.274,0.091,0.152
1668070208137,2022-11-10T10.50.08.137,5.552,0.183,0.183,0.091
1668070208178,2022-11-10T10.50.08.178,5.593,-0.061,0.152,0.091
1668070208218,2022-11-10T10.50.08.218,5.633,-0.061,-0.061,0.366
1668070208259,2022-11-10T10.50.08.259,5.674,0.030,-0.183,0.549
1668070208298,2022-11-10T10.50.08.298,5.713,-0.366,0.061,0.274
1668070208338,2022-11-10T10.50.08.338,5.753,-0.488,0.213,0.000
1668070208379,2022-11-10T10.50.08.379,5.794,0.000,0.152,0.000
1668070208418,2022-11-10T10.50.08.418,5.833,0.213,0.183,-0.152
1668070208459,2022-11-10T10.50.08.459,5.874,0.091,0.244,-0.274
1668070208499,2022-11-10T10.50.08.499,5.914,-0.061,0.244,-0.152
1668070208540,2022-11-10T10.50.08.540,5.955,0.122,0.183,0.061
1668070208579,2022-11-10T10.50.08.579,5.994,0.305,0.061,0.091
1668070208620,2022-11-10T10.50.08.620,6.035,0.335,0.091,0.183
1668070208660,2022-11-10T10.50.08.660,6.075,0.396,0.152,0.091
1668070208701,2022-11-10T10.50.08.701,6.116,0.244,0.152,0.152
1668070208740,2022-11-10T10.50.08.740,6.155,0.396,0.030,0.518
1668070208781,2022-11-10T10.50.08.781,6.196,0.457,-0.030,0.640
1668070208821,2022-11-10T10.50.08.821,6.236,0.213,0.061,0.488
1668070208861,2022-11-10T10.50.08.861,6.276,-0.213,0.122,0.305
1668070208902,2022-11-10T10.50.08.902,6.317,-0.427,0.122,0.427
1668070208941,2022-11-10T10.50.08.941,6.356,-0.183,0.000,0.396
1668070208982,2022-11-10T10.50.08.982,6.397,-0.213,0.030,0.152
1668070209022,2022-11-10T10.50.09.022,6.437,-0.274,0.366,0.152
1668070209063,2022-11-10T10.50.09.063,6.478,-0.061,0.427,0.396
1668070209102,2022-11-10T10.50.09.102,6.517,-0.091,0.274,0.213
1668070209143,2022-11-10T10.50.09.143,6.558,-0.396,0.244,-0.183
1668070209183,2022-11-10T10.50.09.183,6.598,-0.457,0.213,-0.305
1668070209224,2022-11-10T10.50.09.224,6.639,-0.274,0.183,-0.152
1668070209263,2022-11-10T10.50.09.263,6.678,0.000,0.152,-0.030
1668070209304,2022-11-10T10.50.09.304,6.719,0.091,0.091,-0.061
1668070209344,2022-11-10T10.50.09.344,6.759,-0.152,0.183,-0.183
1668070209384,2022-11-10T10.50.09.384,6.799,-0.213,0.183,0.061
1668070209425,2022-11-10T10.50.09.425,6.840,0.091,0.152,0.152
1668070209464,2022-11-10T10.50.09.464,6.879,0.183,0.122,-0.274
1668070209505,2022-11-10T10.50.09.505,6.920,0.091,0.274,-0.488
1668070209545,2022-11-10T10.50.09.545,6.960,0.518,0.305,-0.305
1668070209586,2022-11-10T10.50.09.586,7.001,-0.152,0.305,0.122
1668070209625,2022-11-10T10.50.09.625,7.040,-0.488,0.213,0.091
1668070209666,2022-11-10T10.50.09.666,7.081,-0.244,0.000,0.122
1668070209706,2022-11-10T10.50.09.706,7.121,0.122,0.091,0.244
1668070209747,2022-11-10T10.50.09.747,7.162,-0.427,1.250,-0.091
1668070209786,2022-11-10T10.50.09.786,7.201,-2.957,1.280,-0.366
1668070209827,2022-11-10T10.50.09.827,7.242,-2.409,0.305,-0.122
1668070209867,2022-11-10T10.50.09.867,7.282,-0.396,-0.152,0.152
1668070209906,2022-11-10T10.50.09.906,7.321,-0.457,-0.366,0.122
1668070209948,2022-11-10T10.50.09.948,7.363,-0.335,-0.305,-0.061
1668070209987,2022-11-10T10.50.09.987,7.402,-0.213,-0.152,-0.061
1668070210028,2022-11-10T10.50.10.028,7.443,-0.152,-0.030,0.061
1668070210068,2022-11-10T10.50.10.068,7.483,-0.122,0.152,0.030
1668070210109,2022-11-10T10.50.10.109,7.524,0.335,0.244,-0.122
1668070210148,2022-11-10T10.50.10.148,7.563,0.335,0.122,0.061
1668070210189,2022-11-10T10.50.10.189,7.604,0.671,0.122,-0.061
1668070210229,2022-11-10T10.50.10.229,7.644,-0.152,0.793,-0.244
1668070210270,2022-11-10T10.50.10.270,7.685,-1.067,0.823,0.030
