epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667892568637,2022-11-08T09:29:28.637,0.000,1.982,0.122,-0.457
1667892568676,2022-11-08T09:29:28.676,0.039,1.707,0.335,-0.701
1667892568717,2022-11-08T09:29:28.717,0.080,0.274,0.213,-1.189
1667892568758,2022-11-08T09:29:28.758,0.121,-1.616,0.823,-0.823
1667892568800,2022-11-08T09:29:28.800,0.163,-3.323,1.372,-0.762
1667892568839,2022-11-08T09:29:28.839,0.202,-3.049,1.433,-1.189
1667892568880,2022-11-08T09:29:28.880,0.243,-0.671,0.854,-1.494
1667892568921,2022-11-08T09:29:28.921,0.284,-0.335,0.579,-0.701
1667892568962,2022-11-08T09:29:28.962,0.325,-0.976,0.701,0.762
1667892569002,2022-11-08T09:29:29.002,0.365,-0.976,-0.061,1.768
1667892569043,2022-11-08T09:29:29.043,0.406,3.232,-0.030,2.165
1667892569084,2022-11-08T09:29:29.084,0.447,2.012,-0.396,1.524
1667892569125,2022-11-08T09:29:29.125,0.488,1.707,-0.274,1.646
1667892569164,2022-11-08T09:29:29.164,0.527,1.738,-0.061,0.701
1667892569205,2022-11-08T09:29:29.205,0.568,-0.762,-0.305,-0.152
1667892569246,2022-11-08T09:29:29.246,0.609,-1.098,0.945,-0.305
1667892569286,2022-11-08T09:29:29.286,0.649,-2.713,0.945,-0.854
1667892569327,2022-11-08T09:29:29.327,0.690,-0.640,1.037,-0.823
1667892569368,2022-11-08T09:29:29.368,0.731,-0.396,0.549,-0.915
1667892569409,2022-11-08T09:29:29.409,0.772,-0.244,0.305,-0.152
1667892569448,2022-11-08T09:29:29.448,0.811,0.335,0.640,0.610
1667892569489,2022-11-08T09:29:29.489,0.852,-0.457,0.213,0.457
1667892569530,2022-11-08T09:29:29.530,0.893,0.061,0.579,0.488
1667892569571,2022-11-08T09:29:29.571,0.934,-0.884,0.427,0.000
1667892569611,2022-11-08T09:29:29.611,0.974,-0.152,0.518,-0.244
1667892569652,2022-11-08T09:29:29.652,1.015,-0.244,0.427,-0.549
1667892569693,2022-11-08T09:29:29.693,1.056,-0.793,0.305,-0.335
1667892569734,2022-11-08T09:29:29.734,1.097,-0.640,0.640,-0.091
1667892569774,2022-11-08T09:29:29.774,1.137,-0.488,0.518,-0.274
1667892569815,2022-11-08T09:29:29.815,1.178,-0.366,0.701,0.030
1667892569856,2022-11-08T09:29:29.856,1.219,-0.640,0.640,-0.030
1667892569895,2022-11-08T09:29:29.895,1.258,-0.152,0.579,-0.030
1667892569936,2022-11-08T09:29:29.936,1.299,-0.549,0.518,0.213
1667892569977,2022-11-08T09:29:29.977,1.340,-0.396,0.335,0.183
1667892570018,2022-11-08T09:29:30.018,1.381,-0.244,0.457,0.122
1667892570058,2022-11-08T09:29:30.058,1.421,-1.280,0.701,0.305
1667892570099,2022-11-08T09:29:30.099,1.462,-1.616,0.701,0.366
1667892570140,2022-11-08T09:29:30.140,1.503,-0.823,0.549,0.122
1667892570181,2022-11-08T09:29:30.181,1.544,-0.823,0.488,0.152
1667892570220,2022-11-08T09:29:30.220,1.583,-1.463,0.518,0.457
1667892570261,2022-11-08T09:29:30.261,1.624,-1.159,0.396,0.579
1667892570302,2022-11-08T09:29:30.302,1.665,-1.433,0.030,0.579
1667892570342,2022-11-08T09:29:30.342,1.705,-0.030,-0.091,0.457
1667892570383,2022-11-08T09:29:30.383,1.746,-0.793,0.274,0.610
