epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667892568717,2022-11-08T09:29:28.717,0.000,-0.108,0.297,-0.946
1667892568758,2022-11-08T09:29:28.758,0.041,-0.106,0.298,-0.956
1667892568800,2022-11-08T09:29:28.800,0.083,-0.090,0.313,-0.957
1667892568839,2022-11-08T09:29:28.839,0.122,-0.091,0.326,-0.950
1667892568880,2022-11-08T09:29:28.880,0.163,-0.096,0.306,-0.954
1667892568921,2022-11-08T09:29:28.921,0.204,-0.104,0.304,-0.953
1667892568962,2022-11-08T09:29:28.962,0.245,-0.087,0.310,-0.961
1667892569002,2022-11-08T09:29:29.002,0.285,-0.106,0.341,-0.940
1667892569043,2022-11-08T09:29:29.043,0.326,-0.086,0.294,-0.964
1667892569084,2022-11-08T09:29:29.084,0.367,-0.104,0.307,-0.950
1667892569125,2022-11-08T09:29:29.125,0.408,-0.102,0.321,-0.949
1667892569164,2022-11-08T09:29:29.164,0.447,-0.088,0.294,-0.962
1667892569205,2022-11-08T09:29:29.205,0.488,-0.121,0.311,-0.942
1667892569246,2022-11-08T09:29:29.246,0.529,-0.090,0.295,-0.963
1667892569286,2022-11-08T09:29:29.286,0.569,-0.101,0.324,-0.946
1667892569327,2022-11-08T09:29:29.327,0.610,-0.093,0.307,-0.957
1667892569368,2022-11-08T09:29:29.368,0.651,-0.096,0.302,-0.958
1667892569409,2022-11-08T09:29:29.409,0.692,-0.105,0.311,-0.951
1667892569448,2022-11-08T09:29:29.448,0.731,-0.091,0.300,-0.961
1667892569489,2022-11-08T09:29:29.489,0.772,-0.106,0.314,-0.948
1667892569530,2022-11-08T09:29:29.530,0.813,-0.092,0.302,-0.958
1667892569571,2022-11-08T09:29:29.571,0.854,-0.100,0.314,-0.950
1667892569611,2022-11-08T09:29:29.611,0.894,-0.097,0.308,-0.954
1667892569652,2022-11-08T09:29:29.652,0.935,-0.099,0.302,-0.955
1667892569693,2022-11-08T09:29:29.693,0.976,-0.102,0.310,-0.952
1667892569733,2022-11-08T09:29:29.733,1.016,-0.090,0.305,-0.958
1667892569774,2022-11-08T09:29:29.774,1.057,-0.105,0.310,-0.950
1667892569815,2022-11-08T09:29:29.815,1.098,-0.095,0.305,-0.958
1667892569856,2022-11-08T09:29:29.856,1.139,-0.097,0.308,-0.952
1667892569895,2022-11-08T09:29:29.895,1.178,-0.098,0.306,-0.953
1667892569936,2022-11-08T09:29:29.936,1.219,-0.093,0.309,-0.956
1667892569977,2022-11-08T09:29:29.977,1.260,-0.102,0.308,-0.952
1667892570018,2022-11-08T09:29:30.018,1.301,-0.102,0.298,-0.954
1667892570058,2022-11-08T09:29:30.058,1.341,-0.098,0.308,-0.955
1667892570099,2022-11-08T09:29:30.099,1.382,-0.093,0.314,-0.955
1667892570140,2022-11-08T09:29:30.140,1.423,-0.099,0.308,-0.953
1667892570181,2022-11-08T09:29:30.181,1.464,-0.099,0.305,-0.954
1667892570220,2022-11-08T09:29:30.220,1.503,-0.096,0.311,-0.953
1667892570261,2022-11-08T09:29:30.261,1.544,-0.091,0.311,-0.956
1667892570302,2022-11-08T09:29:30.302,1.585,-0.100,0.314,-0.947
1667892570342,2022-11-08T09:29:30.342,1.625,-0.105,0.302,-0.952
1667892570383,2022-11-08T09:29:30.383,1.666,-0.093,0.307,-0.957
1667892570424,2022-11-08T09:29:30.424,1.707,-0.094,0.322,-0.950
1667892570465,2022-11-08T09:29:30.465,1.748,-0.099,0.311,-0.952
1667892570505,2022-11-08T09:29:30.505,1.788,-0.103,0.306,-0.953
1667892570546,2022-11-08T09:29:30.546,1.829,-0.096,0.314,-0.953
1667892570587,2022-11-08T09:29:30.587,1.870,-0.097,0.315,-0.951
1667892570628,2022-11-08T09:29:30.628,1.911,-0.104,0.304,-0.953
1667892570667,2022-11-08T09:29:30.667,1.950,-0.097,0.315,-0.955
1667892570708,2022-11-08T09:29:30.708,1.991,-0.088,0.319,-0.955
1667892570749,2022-11-08T09:29:30.749,2.032,-0.109,0.296,-0.952
1667892570789,2022-11-08T09:29:30.789,2.072,-0.110,0.281,-0.955
1667892570830,2022-11-08T09:29:30.830,2.113,-0.097,0.313,-0.952
1667892570871,2022-11-08T09:29:30.871,2.154,-0.091,0.315,-0.953
1667892570912,2022-11-08T09:29:30.912,2.195,-0.098,0.305,-0.955
1667892570951,2022-11-08T09:29:30.951,2.234,-0.101,0.303,-0.954
1667892570992,2022-11-08T09:29:30.992,2.275,-0.095,0.305,-0.956
1667892571033,2022-11-08T09:29:31.033,2.316,-0.100,0.306,-0.957
1667892571074,2022-11-08T09:29:31.074,2.357,-0.094,0.305,-0.962
1667892571114,2022-11-08T09:29:31.114,2.397,-0.102,0.318,-0.947
1667892571155,2022-11-08T09:29:31.155,2.438,-0.105,0.303,-0.952
1667892571196,2022-11-08T09:29:31.196,2.479,-0.104,0.303,-0.953
1667892571237,2022-11-08T09:29:31.237,2.520,-0.111,0.307,-0.950
1667892571277,2022-11-08T09:29:31.277,2.560,-0.117,0.290,-0.952
1667892571318,2022-11-08T09:29:31.318,2.601,-0.115,0.302,-0.951
1667892571359,2022-11-08T09:29:31.359,2.642,-0.112,0.307,-0.953
1667892571398,2022-11-08T09:29:31.398,2.681,-0.118,0.306,-0.952
1667892571439,2022-11-08T09:29:31.439,2.722,-0.115,0.301,-0.954
1667892571480,2022-11-08T09:29:31.480,2.763,-0.119,0.300,-0.952
1667892571521,2022-11-08T09:29:31.521,2.804,-0.115,0.306,-0.952
1667892571561,2022-11-08T09:29:31.561,2.844,-0.116,0.303,-0.954
1667892571602,2022-11-08T09:29:31.602,2.885,-0.118,0.304,-0.952
1667892571643,2022-11-08T09:29:31.643,2.926,-0.113,0.310,-0.953
1667892571684,2022-11-08T09:29:31.684,2.967,-0.111,0.310,-0.951
