epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668365977555,2022-11-13T20:59:37.555,0.000,33.384,-16.829,16.189
1668365977596,2022-11-13T20:59:37.596,0.041,30.152,-13.079,15.884
1668365977636,2022-11-13T20:59:37.636,0.081,14.329,2.774,10.640
1668365977677,2022-11-13T20:59:37.677,0.122,-2.683,11.524,5.762
1668365977718,2022-11-13T20:59:37.718,0.163,-27.470,23.354,4.817
1668365977759,2022-11-13T20:59:37.759,0.204,-31.494,22.683,12.744
1668365977798,2022-11-13T20:59:37.798,0.243,-17.287,-31.250,12.866
1668365977839,2022-11-13T20:59:37.839,0.284,16.768,-104.390,40.884
1668365977880,2022-11-13T20:59:37.880,0.325,0.732,-71.921,34.756
1668365977921,2022-11-13T20:59:37.921,0.366,-32.957,-44.970,19.878
1668365977961,2022-11-13T20:59:37.961,0.406,-2.439,-94.055,21.921
1668365978002,2022-11-13T20:59:38.002,0.447,18.079,-114.726,15.396
1668365978043,2022-11-13T20:59:38.043,0.488,10.671,-96.098,30.884
1668365978083,2022-11-13T20:59:38.083,0.528,-17.957,-88.110,50.183
1668365978124,2022-11-13T20:59:38.124,0.569,-19.177,-91.616,37.226
1668365978165,2022-11-13T20:59:38.165,0.610,12.591,-56.951,37.378
1668365978206,2022-11-13T20:59:38.206,0.651,16.982,-12.530,15.396
1668365978245,2022-11-13T20:59:38.245,0.690,-2.287,24.604,-0.396
1668365978286,2022-11-13T20:59:38.286,0.731,-4.726,1.921,6.250
1668365978327,2022-11-13T20:59:38.327,0.772,-2.591,-8.598,5.640
1668365978368,2022-11-13T20:59:38.368,0.813,1.829,5.061,2.744
1668365978408,2022-11-13T20:59:38.408,0.853,-0.122,7.622,1.799
1668365978449,2022-11-13T20:59:38.449,0.894,2.530,8.262,0.122
1668365978490,2022-11-13T20:59:38.490,0.935,2.957,8.811,0.640
1668365978529,2022-11-13T20:59:38.529,0.974,1.341,5.366,0.854
1668365978570,2022-11-13T20:59:38.570,1.015,1.860,4.268,-0.091
1668365978611,2022-11-13T20:59:38.611,1.056,1.677,3.841,-0.274
1668365978652,2022-11-13T20:59:38.652,1.097,0.854,3.506,-0.518
1668365978692,2022-11-13T20:59:38.692,1.137,0.427,1.128,-0.366
1668365978733,2022-11-13T20:59:38.733,1.178,1.189,0.518,0.549
1668365978774,2022-11-13T20:59:38.774,1.219,5.640,2.530,0.274
1668365978815,2022-11-13T20:59:38.815,1.260,5.915,3.933,-0.274
1668365978855,2022-11-13T20:59:38.855,1.300,5.244,4.543,-0.488
1668365978896,2022-11-13T20:59:38.896,1.341,5.213,4.817,-0.396
1668365978937,2022-11-13T20:59:38.937,1.382,5.518,3.323,-0.213
1668365978978,2022-11-13T20:59:38.978,1.423,3.354,3.140,-0.274
1668365979017,2022-11-13T20:59:39.017,1.462,2.744,3.811,-0.427
1668365979058,2022-11-13T20:59:39.058,1.503,6.006,3.720,-0.579
1668365979099,2022-11-13T20:59:39.099,1.544,11.433,3.384,-0.671
1668365979139,2022-11-13T20:59:39.139,1.584,11.189,3.537,0.244
1668365979180,2022-11-13T20:59:39.180,1.625,5.305,2.713,1.250
1668365979221,2022-11-13T20:59:39.221,1.666,4.299,0.884,1.311
1668365979262,2022-11-13T20:59:39.262,1.707,2.378,0.183,1.098
1668365979301,2022-11-13T20:59:39.301,1.746,0.305,2.226,0.793
1668365979342,2022-11-13T20:59:39.342,1.787,2.287,0.427,0.488
1668365979383,2022-11-13T20:59:39.383,1.828,8.262,-0.823,-0.396
1668365979424,2022-11-13T20:59:39.424,1.869,8.689,-0.518,-0.335
1668365979464,2022-11-13T20:59:39.464,1.909,1.098,-1.860,1.159
1668365979505,2022-11-13T20:59:39.505,1.950,-2.134,-1.220,1.402
1668365979546,2022-11-13T20:59:39.546,1.991,-2.500,-2.134,1.433
1668365979586,2022-11-13T20:59:39.586,2.031,-2.896,-1.829,1.189
1668365979627,2022-11-13T20:59:39.627,2.072,-1.890,0.000,0.579
1668365979668,2022-11-13T20:59:39.668,2.113,-7.043,0.244,0.427
1668365979709,2022-11-13T20:59:39.709,2.154,-9.146,0.671,0.274
1668365979748,2022-11-13T20:59:39.748,2.193,-6.433,2.835,0.518
1668365979789,2022-11-13T20:59:39.789,2.234,-6.433,5.640,0.366
1668365979830,2022-11-13T20:59:39.830,2.275,-2.652,4.268,1.860
1668365979871,2022-11-13T20:59:39.871,2.316,-0.183,-0.305,3.963
1668365979911,2022-11-13T20:59:39.911,2.356,0.122,-2.622,3.445
1668365979952,2022-11-13T20:59:39.952,2.397,7.195,-6.799,0.854
1668365979993,2022-11-13T20:59:39.993,2.438,2.500,-10.030,-0.549
1668365980032,2022-11-13T20:59:40.032,2.477,-1.220,-8.201,0.335
1668365980073,2022-11-13T20:59:40.073,2.518,5.884,-12.500,0.793
1668365980114,2022-11-13T20:59:40.114,2.559,9.421,-15.762,2.652
1668365980155,2022-11-13T20:59:40.155,2.600,14.055,-5.671,6.494
1668365980195,2022-11-13T20:59:40.195,2.640,2.470,8.201,8.537
1668365980236,2022-11-13T20:59:40.236,2.681,1.921,10.122,3.079
1668365980277,2022-11-13T20:59:40.277,2.722,13.659,7.409,-1.433
1668365980318,2022-11-13T20:59:40.318,2.763,6.555,6.860,-1.311
1668365980357,2022-11-13T20:59:40.357,2.802,-0.915,7.774,-0.427
1668365980399,2022-11-13T20:59:40.399,2.844,-0.915,7.500,-0.427
1668365980440,2022-11-13T20:59:40.440,2.885,-4.970,4.787,-0.030
1668365980481,2022-11-13T20:59:40.481,2.926,-5.183,4.055,0.122
1668365980520,2022-11-13T20:59:40.520,2.965,-1.463,3.689,0.183
1668365980561,2022-11-13T20:59:40.561,3.006,-2.226,1.616,0.671
1668365980602,2022-11-13T20:59:40.602,3.047,-0.610,0.884,0.488
1668365980642,2022-11-13T20:59:40.642,3.087,0.488,0.244,0.274
1668365980683,2022-11-13T20:59:40.683,3.128,-2.957,1.189,0.335
1668365980724,2022-11-13T20:59:40.724,3.169,-0.305,1.677,-0.061
1668365980765,2022-11-13T20:59:40.765,3.210,2.866,0.884,-0.030
1668365980804,2022-11-13T20:59:40.804,3.249,1.402,-0.213,0.793
1668365980845,2022-11-13T20:59:40.845,3.290,3.689,-0.823,0.854
1668365980886,2022-11-13T20:59:40.886,3.331,4.665,-0.030,0.945
1668365980927,2022-11-13T20:59:40.927,3.372,3.049,1.860,1.220
1668365980967,2022-11-13T20:59:40.967,3.412,3.079,2.866,1.372
1668365981008,2022-11-13T20:59:41.008,3.453,3.201,3.110,1.402
1668365981049,2022-11-13T20:59:41.049,3.494,0.183,2.744,1.433
1668365981088,2022-11-13T20:59:41.088,3.533,-0.244,2.896,0.488
1668365981129,2022-11-13T20:59:41.129,3.574,-4.360,2.317,0.274
1668365981170,2022-11-13T20:59:41.170,3.615,-6.067,2.439,0.976
1668365981211,2022-11-13T20:59:41.211,3.656,-1.098,2.622,1.585
1668365981251,2022-11-13T20:59:41.251,3.696,0.305,2.530,1.037
1668365981292,2022-11-13T20:59:41.292,3.737,-0.915,2.561,0.945
1668365981333,2022-11-13T20:59:41.333,3.778,3.628,2.500,0.457
1668365981374,2022-11-13T20:59:41.374,3.819,1.494,3.537,0.213
1668365981414,2022-11-13T20:59:41.414,3.859,-0.152,2.988,0.488
1668365981455,2022-11-13T20:59:41.455,3.900,1.860,1.311,-0.335
1668365981496,2022-11-13T20:59:41.496,3.941,-1.585,2.988,-1.372
1668365981537,2022-11-13T20:59:41.537,3.982,0.396,5.244,-1.768
1668365981576,2022-11-13T20:59:41.576,4.021,2.043,5.488,-1.494
1668365981617,2022-11-13T20:59:41.617,4.062,0.579,5.671,-1.372
1668365981658,2022-11-13T20:59:41.658,4.103,1.494,4.390,-1.280
1668365981698,2022-11-13T20:59:41.698,4.143,-2.165,1.890,-0.884
1668365981739,2022-11-13T20:59:41.739,4.184,-3.049,0.915,-0.793
1668365981780,2022-11-13T20:59:41.780,4.225,0.549,0.244,-0.549
1668365981821,2022-11-13T20:59:41.821,4.266,-1.494,1.311,0.213
1668365981860,2022-11-13T20:59:41.860,4.305,-0.305,2.043,0.640
1668365981901,2022-11-13T20:59:41.901,4.346,-0.579,1.616,0.701
1668365981942,2022-11-13T20:59:41.942,4.387,-0.061,0.518,0.518
1668365981983,2022-11-13T20:59:41.983,4.428,2.012,0.000,0.274
1668365982023,2022-11-13T20:59:42.023,4.468,0.427,0.793,0.244
1668365982064,2022-11-13T20:59:42.064,4.509,0.823,1.098,-0.030
1668365982105,2022-11-13T20:59:42.105,4.550,0.976,1.098,-0.427
1668365982145,2022-11-13T20:59:42.145,4.590,-1.372,1.159,-0.396
