epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667737118851,2022-11-06T14.18.38.851,0.000,0.434,-0.103,-0.913
1667737118890,2022-11-06T14.18.38.890,0.039,0.436,-0.104,-0.923
1667737118931,2022-11-06T14.18.38.931,0.080,0.431,-0.106,-0.923
1667737118972,2022-11-06T14.18.38.972,0.121,0.435,-0.103,-0.921
1667737119012,2022-11-06T14.18.39.012,0.161,0.434,-0.102,-0.921
1667737119053,2022-11-06T14.18.39.053,0.202,0.434,-0.108,-0.921
1667737119094,2022-11-06T14.18.39.094,0.243,0.437,-0.102,-0.918
1667737119135,2022-11-06T14.18.39.135,0.284,0.431,-0.103,-0.922
1667737119174,2022-11-06T14.18.39.174,0.323,0.432,-0.106,-0.923
1667737119215,2022-11-06T14.18.39.215,0.364,0.436,-0.104,-0.919
1667737119256,2022-11-06T14.18.39.256,0.405,0.434,-0.108,-0.922
1667737119297,2022-11-06T14.18.39.297,0.446,0.436,-0.105,-0.922
1667737119337,2022-11-06T14.18.39.337,0.486,0.434,-0.104,-0.921
1667737119378,2022-11-06T14.18.39.378,0.527,0.434,-0.105,-0.919
1667737119419,2022-11-06T14.18.39.419,0.568,0.435,-0.104,-0.920
1667737119460,2022-11-06T14.18.39.460,0.609,0.433,-0.105,-0.922
1667737119500,2022-11-06T14.18.39.500,0.649,0.436,-0.108,-0.920
1667737119541,2022-11-06T14.18.39.541,0.690,0.434,-0.103,-0.922
1667737119582,2022-11-06T14.18.39.582,0.731,0.435,-0.104,-0.920
1667737119621,2022-11-06T14.18.39.621,0.770,0.432,-0.107,-0.922
1667737119662,2022-11-06T14.18.39.662,0.811,0.434,-0.104,-0.920
1667737119703,2022-11-06T14.18.39.703,0.852,0.433,-0.105,-0.921
1667737119744,2022-11-06T14.18.39.744,0.893,0.434,-0.106,-0.921
1667737119784,2022-11-06T14.18.39.784,0.933,0.436,-0.101,-0.920
1667737119825,2022-11-06T14.18.39.825,0.974,0.434,-0.104,-0.921
1667737119866,2022-11-06T14.18.39.866,1.015,0.435,-0.100,-0.920
1667737119907,2022-11-06T14.18.39.907,1.056,0.434,-0.107,-0.922
1667737119946,2022-11-06T14.18.39.946,1.095,0.433,-0.102,-0.920
1667737119987,2022-11-06T14.18.39.987,1.136,0.436,-0.103,-0.920
1667737120028,2022-11-06T14.18.40.028,1.177,0.434,-0.101,-0.922
1667737120069,2022-11-06T14.18.40.069,1.218,0.434,-0.105,-0.920
1667737120109,2022-11-06T14.18.40.109,1.258,0.435,-0.103,-0.922
1667737120150,2022-11-06T14.18.40.150,1.299,0.434,-0.102,-0.921
1667737120191,2022-11-06T14.18.40.191,1.340,0.436,-0.105,-0.922
1667737120231,2022-11-06T14.18.40.231,1.380,0.434,-0.102,-0.921
1667737120272,2022-11-06T14.18.40.272,1.421,0.435,-0.105,-0.920
1667737120313,2022-11-06T14.18.40.313,1.462,0.434,-0.105,-0.921
1667737120354,2022-11-06T14.18.40.354,1.503,0.436,-0.100,-0.921
1667737120393,2022-11-06T14.18.40.393,1.542,0.436,-0.102,-0.920
1667737120434,2022-11-06T14.18.40.434,1.583,0.434,-0.102,-0.921
1667737120475,2022-11-06T14.18.40.475,1.624,0.434,-0.104,-0.921
1667737120516,2022-11-06T14.18.40.516,1.665,0.435,-0.101,-0.921
1667737120556,2022-11-06T14.18.40.556,1.705,0.433,-0.103,-0.921
1667737120597,2022-11-06T14.18.40.597,1.746,0.436,-0.101,-0.920
1667737120638,2022-11-06T14.18.40.638,1.787,0.435,-0.102,-0.922
1667737120679,2022-11-06T14.18.40.679,1.828,0.434,-0.104,-0.921
1667737120718,2022-11-06T14.18.40.718,1.867,0.435,-0.101,-0.921
1667737120759,2022-11-06T14.18.40.759,1.908,0.434,-0.103,-0.922
1667737120800,2022-11-06T14.18.40.800,1.949,0.435,-0.100,-0.922
1667737120841,2022-11-06T14.18.40.841,1.990,0.434,-0.102,-0.922
1667737120881,2022-11-06T14.18.40.881,2.030,0.435,-0.104,-0.919
1667737120922,2022-11-06T14.18.40.922,2.071,0.435,-0.100,-0.922
1667737120963,2022-11-06T14.18.40.963,2.112,0.432,-0.106,-0.922
1667737121003,2022-11-06T14.18.41.003,2.152,0.432,-0.102,-0.922
1667737121044,2022-11-06T14.18.41.044,2.193,0.433,-0.104,-0.920
1667737121085,2022-11-06T14.18.41.085,2.234,0.431,-0.110,-0.922
