epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667755020339,2022-11-06T19.17.00.339,0.000,1.037,2.622,-0.884
1667755020380,2022-11-06T19.17.00.380,0.041,0.793,1.921,-1.006
1667755020419,2022-11-06T19.17.00.419,0.080,-0.061,1.220,-0.671
1667755020460,2022-11-06T19.17.00.460,0.121,-0.671,1.768,-0.732
1667755020501,2022-11-06T19.17.00.501,0.162,-0.640,-0.335,-0.122
1667755020542,2022-11-06T19.17.00.542,0.203,-1.860,-1.616,0.488
1667755020582,2022-11-06T19.17.00.582,0.243,-0.884,0.823,0.335
1667755020623,2022-11-06T19.17.00.623,0.284,-0.518,0.244,-0.061
1667755020664,2022-11-06T19.17.00.664,0.325,-1.311,0.183,0.335
1667755020703,2022-11-06T19.17.00.703,0.364,-0.640,1.311,0.701
1667755020744,2022-11-06T19.17.00.744,0.405,-0.640,-0.396,0.274
1667755020785,2022-11-06T19.17.00.785,0.446,-0.732,-0.640,-0.122
1667755020826,2022-11-06T19.17.00.826,0.487,0.335,0.793,0.671
1667755020866,2022-11-06T19.17.00.866,0.527,0.488,1.220,0.457
1667755020907,2022-11-06T19.17.00.907,0.568,-0.335,1.555,0.518
1667755020948,2022-11-06T19.17.00.948,0.609,0.061,0.579,0.945
1667755020989,2022-11-06T19.17.00.989,0.650,-0.152,0.549,0.549
1667755021028,2022-11-06T19.17.01.028,0.689,-0.061,0.396,-0.457
1667755021070,2022-11-06T19.17.01.070,0.731,0.122,0.488,-0.244
1667755021111,2022-11-06T19.17.01.111,0.772,-0.884,0.091,0.152
1667755021150,2022-11-06T19.17.01.150,0.811,-1.280,0.274,0.305
1667755021191,2022-11-06T19.17.01.191,0.852,-0.549,1.159,0.457
1667755021232,2022-11-06T19.17.01.232,0.893,-0.244,0.732,0.488
1667755021273,2022-11-06T19.17.01.273,0.934,-0.762,0.030,0.274
1667755021313,2022-11-06T19.17.01.313,0.974,-0.915,0.701,0.152
1667755021354,2022-11-06T19.17.01.354,1.015,-0.732,0.732,0.305
1667755021395,2022-11-06T19.17.01.395,1.056,-0.945,-0.945,0.640
1667755021436,2022-11-06T19.17.01.436,1.097,-0.884,-0.488,-0.366
1667755021475,2022-11-06T19.17.01.475,1.136,-2.165,0.793,-0.274
1667755021516,2022-11-06T19.17.01.516,1.177,-1.220,-0.305,-0.152
1667755021557,2022-11-06T19.17.01.557,1.218,-0.183,0.366,0.152
1667755021598,2022-11-06T19.17.01.598,1.259,0.762,0.915,-0.183
1667755021638,2022-11-06T19.17.01.638,1.299,-0.030,0.091,-0.335
1667755021679,2022-11-06T19.17.01.679,1.340,-0.518,0.152,-0.061
1667755021720,2022-11-06T19.17.01.720,1.381,-0.030,0.671,0.183
1667755021759,2022-11-06T19.17.01.759,1.420,0.000,0.793,0.213
1667755021800,2022-11-06T19.17.01.800,1.461,0.030,-1.524,-0.213
1667755021841,2022-11-06T19.17.01.841,1.502,0.091,-0.701,-0.274
1667755021882,2022-11-06T19.17.01.882,1.543,0.274,1.494,-0.305
1667755021922,2022-11-06T19.17.01.922,1.583,-0.610,0.244,0.183
1667755021963,2022-11-06T19.17.01.963,1.624,-2.104,1.585,-0.335
1667755022004,2022-11-06T19.17.02.004,1.665,-0.793,1.220,-0.213
1667755022045,2022-11-06T19.17.02.045,1.706,-1.037,1.585,0.183
1667755022085,2022-11-06T19.17.02.085,1.746,-0.915,2.134,-0.091
1667755022126,2022-11-06T19.17.02.126,1.787,-0.640,0.335,0.091
1667755022167,2022-11-06T19.17.02.167,1.828,-0.549,0.976,0.396
1667755022208,2022-11-06T19.17.02.208,1.869,-0.701,-0.183,0.335
1667755022247,2022-11-06T19.17.02.247,1.908,-1.189,0.549,0.335
1667755022288,2022-11-06T19.17.02.288,1.949,-0.457,0.762,0.244
1667755022329,2022-11-06T19.17.02.329,1.990,-0.671,0.213,0.274
1667755022369,2022-11-06T19.17.02.369,2.030,-1.311,1.433,-0.122
